,País,Apellido,y,c
6384,Argentina,Almeida,0.0,Argentina
6397,Paraguay,Almeida,0.0,Paraguay
6401,Uruguay,Almeida,0.0,Uruguay
6389,Cuba,Almeida,0.0,Cuba
6400,República Dominicana,Almeida,0.0,Dominicana
6399,Puerto Rico,Almeida,0.0,Puerto Rico
11087,México,Almonte,0.0,Mexico
11085,Guatemala,Almonte,0.0,Guatemala
11084,El Salvador,Almonte,0.0,El Salvador
11086,Honduras,Almonte,0.0,Honduras
11088,Nicaragua,Almonte,0.0,Nicaragua
11081,Costa Rica,Almonte,0.0,Costa Rica
11089,Panamá,Almonte,0.0,Panama
11080,Colombia,Almonte,0.0,Colombia
11095,Venezuela,Almonte,0.0,Venezuela
11083,Ecuador,Almonte,0.0,Ecuador
11091,Perú,Almonte,0.0,Peru
11078,Bolivia,Almonte,0.0,Bolivia
11079,Chile,Almonte,0.0,Chile
11077,Argentina,Almonte,0.0,Argentina
11090,Paraguay,Almonte,0.0,Paraguay
11094,Uruguay,Almonte,0.0,Uruguay
11082,Cuba,Almonte,0.0,Cuba
11093,República Dominicana,Almonte,0.09952606635071092,Dominicana
11092,Puerto Rico,Almonte,0.0,Puerto Rico
5425,México,Alonso,0.0,Mexico
5423,Guatemala,Alonso,0.0,Guatemala
5422,El Salvador,Alonso,0.0,El Salvador
5424,Honduras,Alonso,0.0,Honduras
5426,Nicaragua,Alonso,0.0,Nicaragua
5419,Costa Rica,Alonso,0.0,Costa Rica
5427,Panamá,Alonso,0.0,Panama
5418,Colombia,Alonso,0.0,Colombia
5433,Venezuela,Alonso,0.0,Venezuela
5421,Ecuador,Alonso,0.0,Ecuador
5429,Perú,Alonso,0.0,Peru
5416,Bolivia,Alonso,0.0,Bolivia
5417,Chile,Alonso,0.0,Chile
5415,Argentina,Alonso,0.0,Argentina
5428,Paraguay,Alonso,0.0,Paraguay
5432,Uruguay,Alonso,0.038461538461538464,Uruguay
5420,Cuba,Alonso,0.08677685950413223,Cuba
5431,República Dominicana,Alonso,0.0,Dominicana
5430,Puerto Rico,Alonso,0.0,Puerto Rico
7534,México,Alonzo,0.0,Mexico
7532,Guatemala,Alonzo,0.04411764705882353,Guatemala
7531,El Salvador,Alonzo,0.0,El Salvador
7533,Honduras,Alonzo,0.0,Honduras
7535,Nicaragua,Alonzo,0.0,Nicaragua
7528,Costa Rica,Alonzo,0.0,Costa Rica
7536,Panamá,Alonzo,0.0,Panama
7527,Colombia,Alonzo,0.0,Colombia
7542,Venezuela,Alonzo,0.0,Venezuela
7530,Ecuador,Alonzo,0.0,Ecuador
7538,Perú,Alonzo,0.0,Peru
7525,Bolivia,Alonzo,0.0,Bolivia
7526,Chile,Alonzo,0.0,Chile
7524,Argentina,Alonzo,0.0,Argentina
7537,Paraguay,Alonzo,0.0,Paraguay
7541,Uruguay,Alonzo,0.0,Uruguay
7529,Cuba,Alonzo,0.0,Cuba
7540,República Dominicana,Alonzo,0.0,Dominicana
7539,Puerto Rico,Alonzo,0.0,Puerto Rico
8655,México,Altamirano,0.0,Mexico
8653,Guatemala,Altamirano,0.0,Guatemala
8652,El Salvador,Altamirano,0.0,El Salvador
8654,Honduras,Altamirano,0.0,Honduras
8656,Nicaragua,Altamirano,0.06583072100313479,Nicaragua
8649,Costa Rica,Altamirano,0.0,Costa Rica
8657,Panamá,Altamirano,0.0,Panama
8648,Colombia,Altamirano,0.0,Colombia
8663,Venezuela,Altamirano,0.0,Venezuela
8651,Ecuador,Altamirano,0.0,Ecuador
8659,Perú,Altamirano,0.0,Peru
8646,Bolivia,Altamirano,0.0,Bolivia
8647,Chile,Altamirano,0.0,Chile
8645,Argentina,Altamirano,0.0,Argentina
8658,Paraguay,Altamirano,0.0,Paraguay
8662,Uruguay,Altamirano,0.0,Uruguay
8650,Cuba,Altamirano,0.0,Cuba
8661,República Dominicana,Altamirano,0.0,Dominicana
8660,Puerto Rico,Altamirano,0.0,Puerto Rico
3829,México,Alvarado,0.058495821727019504,Mexico
3827,Guatemala,Alvarado,0.1076923076923077,Guatemala
3826,El Salvador,Alvarado,0.15328467153284672,El Salvador
3828,Honduras,Alvarado,0.16153846153846155,Honduras
3830,Nicaragua,Alvarado,0.07420494699646643,Nicaragua
3823,Costa Rica,Alvarado,0.20192307692307696,Costa Rica
3831,Panamá,Alvarado,0.05737704918032787,Panama
3822,Colombia,Alvarado,0.0,Colombia
3837,Venezuela,Alvarado,0.0673076923076923,Venezuela
3825,Ecuador,Alvarado,0.07664233576642336,Ecuador
3833,Perú,Alvarado,0.05000000000000001,Peru
3820,Bolivia,Alvarado,0.0,Bolivia
3821,Chile,Alvarado,0.0455531453362256,Chile
3819,Argentina,Alvarado,0.0,Argentina
3832,Paraguay,Alvarado,0.0,Paraguay
3836,Uruguay,Alvarado,0.0,Uruguay
3824,Cuba,Alvarado,0.0,Cuba
3835,República Dominicana,Alvarado,0.0,Dominicana
3834,Puerto Rico,Alvarado,0.0,Puerto Rico
6717,México,Alvarenga,0.0,Mexico
6715,Guatemala,Alvarenga,0.0,Guatemala
6714,El Salvador,Alvarenga,0.058495821727019504,El Salvador
6716,Honduras,Alvarenga,0.0,Honduras
6718,Nicaragua,Alvarenga,0.0,Nicaragua
6711,Costa Rica,Alvarenga,0.0,Costa Rica
6719,Panamá,Alvarenga,0.0,Panama
6710,Colombia,Alvarenga,0.0,Colombia
6725,Venezuela,Alvarenga,0.0,Venezuela
6713,Ecuador,Alvarenga,0.0,Ecuador
6721,Perú,Alvarenga,0.0,Peru
6708,Bolivia,Alvarenga,0.0,Bolivia
6709,Chile,Alvarenga,0.0,Chile
6707,Argentina,Alvarenga,0.0,Argentina
6720,Paraguay,Alvarenga,0.05722070844686648,Paraguay
6724,Uruguay,Alvarenga,0.0,Uruguay
6712,Cuba,Alvarenga,0.0,Cuba
6723,República Dominicana,Alvarenga,0.0,Dominicana
6722,Puerto Rico,Alvarenga,0.0,Puerto Rico
257,México,Alvarez,0.1065989847715736,Mexico
255,Guatemala,Alvarez,0.10243902439024391,Guatemala
254,El Salvador,Alvarez,0.08713692946058092,El Salvador
256,Honduras,Alvarez,0.08936170212765958,Honduras
258,Nicaragua,Alvarez,0.09090909090909091,Nicaragua
251,Costa Rica,Alvarez,0.14,Costa Rica
259,Panamá,Alvarez,0.0,Panama
250,Colombia,Alvarez,0.12000000000000001,Colombia
265,Venezuela,Alvarez,0.11864406779661017,Venezuela
253,Ecuador,Alvarez,0.07167235494880547,Ecuador
261,Perú,Alvarez,0.05737704918032787,Peru
248,Bolivia,Alvarez,0.08502024291497977,Bolivia
249,Chile,Alvarez,0.11351351351351352,Chile
247,Argentina,Alvarez,0.0945945945945946,Argentina
260,Paraguay,Alvarez,0.07317073170731708,Paraguay
264,Uruguay,Alvarez,0.13043478260869565,Uruguay
